placa,franqueado,inicio_ctt,fim_ctt,motivo,causa
SKO6I55,RJD INDEPENDENCIA FINANCEIRA E MOBILIDADE LTDA,13/01/2025,29/07/2025,"Contrato rescindido após constatação de uso indevido da motocicleta, descumprindo cláusulas contratuais de conservação e responsabilidade fazendo o abando do veículo. Retenção do valor de caução e aplicação da multa conforme previsto no contrato.",uso indevido da motocicleta
TGW3J24,ASF LOCACOES LTDA,04/07/2025,28/07/2025,Sem informações,Sem informações
TGW0G06,ASF LOCACOES LTDA,26/06/2025,28/07/2025,"Locatário vai viajar para fora do estado em negociação ficou acordado devolução da moto sem multa de quebra contratual.",Locatário vai viajar para fora do estado
SKM7E01,Fillipe Felix - SALVADOR (Antiga ACRP LOCACAO),03/04/2025,25/07/2025,"contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKT5D63,FBF LOCACOES E SERVICOS LTDA,24/07/2025,25/07/2025,"Contrato encerrado após recorrência de falhas técnicas na motocicleta, que comprometeram a continuidade da locação. A decisão foi acordada entre as partes. A moto foi recolhida para manutenção e o valor do caução será avaliado conforme as condições contratuais.",falhas técnicas na motocicleta
SKO4D98,H4S SERVICO DE LOCACAO DE MOTOS LTDA,24/01/2025,25/07/2025,"Contrato cancelado por inadimplencia, acordo ciente da parte locadora.",inadimplência
TLN9I32,MG RENTAL MOTOS - Salvador,03/04/2025,24/07/2025,Sem informações,Sem informações
SKJ8E68,W&W LOCADORA DE VEICULOS LTDA,23/07/2025,24/07/2025,sem informações,sem informações
SJX2F23,W&W LOCADORA DE VEICULOS LTDA,29/05/2024,24/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TGU6A18,NC LOCMAIS SERVICOS LTDA,09/06/2025,24/07/2025,"Aplicação da multa contratual devido ao cancelamento do contrato por inadimplência, conforme estabelecido nas cláusulas contratuais.",inadimplência
SJX1E19,W&W LOCADORA DE VEICULOS LTDA,30/04/2025,24/07/2025,"Devolução do veículo por parte do locatário após envolvimento em acidente. O locatário não arcou com os custos do serviço",acidente
SKT1C71,JD HOLDING LTDA,01/07/2025,24/07/2025,CLIENTE DESISTIU DA LOCAÇÃO,Desistência
SKO4E71,SAMPAIO FREITAS COMERCIO E SERVICOS DE LOCACAO LTDA,06/05/2025,24/07/2025,"Contrato cancelado a pedido do locatário por não adaptação ao modelo da motocicleta. A decisão foi tomada logo após o início da locação. O veículo foi devolvido em perfeitas condições. A caução será tratada conforme as cláusulas contratuais. Encerramento realizado de forma consensual, sem maiores ônus para ambas as partes.",não adaptação ao modelo da motocicleta
SKN4H47,SAMPAIO FREITAS COMERCIO E SERVICOS DE LOCACAO LTDA,27/03/2025,24/07/2025,"O contrato está sendo encerrado em decorrência do não pagamento de manutenção corretiva necessária no veículo, obrigação esta prevista nas cláusulas contratuais e de responsabilidade do locatário. Diante do descumprimento, o encerramento foi realizado de forma unilateral pela locadora, e o valor do caução será tratado conforme estabelecido em contrato, respeitando os trâmites aplicáveis.",não pagamento de manutenção corretiva
SKM5F60,PH LOCACAO DE VEICULOS LTDA,19/03/2025,23/07/2025,"Contrato rescindido por iniciativa do locatário, que solicitou a devolução do veículo por motivos de ordem pessoal. Com isso, fica a retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",motivos pessoais
TGU7H43,LOCNOG LOCACOES LTDA,17/06/2025,22/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGU8C18,LOCNOG LOCACOES LTDA,28/05/2025,22/07/2025,"O locatário está com a moto reserva da W&W placa: SJX2J11 temporariamente até que a sua moto esteja pronta do sinistro que houve.",está com a moto reserva
SKR6J57,CG Motos Ltda,24/03/2025,21/07/2025,"Foi encerrado em razão de inadimplência, conforme cláusula contratual previamente acordada e assinada pelas partes.",inadimplência
SKO2I81,H4S SERVICO DE LOCACAO DE MOTOS LTDA,27/06/2025,21/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TGW9J01,ASF LOCACOES LTDA,03/07/2025,21/07/2025,"contrato cancelado temporariamente devido a utilização de moto reserva de outra franquia",utilização de moto reserva de outra franquia
SJX4E45,W&W LOCADORA DE VEICULOS LTDA,10/06/2025,21/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKQ0G83,LOC AND GO LTDA,18/07/2025,19/07/2025,"CLIENTE ESTÁ COM A CNH SUSPENSA, POR ESSE MOTIVO FOI NECESSÁRIO REALIZAR O CANCELAMENTO.",CNH suspensa
SKS2E32,CD MOTOS RENTAL LTDA - SALVADOR,08/05/2025,19/07/2025,"Cancelamento de contrato devido a disponibilização de uma moto reserva para o locatário.",moto reserva
SKM6F84,G&G LOCAÇÕES AUTOMOTIVAS - sede,24/12/2024,19/07/2025,"O contrato foi encerrado por decisão do locatário, que solicitou a devolução do veículo por motivos pessoais, sem apontar insatisfação com o serviço ou produto. A caução será tratada conforme as cláusulas contratuais.",motivos pessoais
SKT5D63,FBF LOCACOES E SERVICOS LTDA,14/04/2025,18/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGU2H59,G&G LOCAÇÕES AUTOMOTIVAS - sede,23/05/2025,18/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKR7D21,REALIZAR LOCACAO DE AUTOMOVEIS LTDA,13/05/2025,18/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKR1A38,CG Motos Ltda,24/03/2025,18/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGT7B68,REALIZAR LOCACAO DE AUTOMOVEIS LTDA,19/06/2025,17/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKO2C86,SAMPAIO FREITAS COMERCIO E SERVICOS DE LOCACAO LTDA,31/12/2024,17/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKM1B72,FVE LOCACOES E SERVICOS LTDA,22/01/2025,17/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKI4A36,LOC AND GO LTDA,09/06/2025,17/07/2025,FIM CONTRATO,FIM CONTRATO
SKO9E22,H4S SERVICO DE LOCACAO DE MOTOS LTDA,10/07/2025,17/07/2025,TROCA De MOTO,TROCA De MOTO
SKK4I53,FVE LOCACOES E SERVICOS LTDA,12/05/2025,17/07/2025,"O contrato foi cancelado devido à inadimplência e falta de pagamento da franquia para o reparo da moto, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato. A cobrança de trata de uma multa contratual que é equivalente a 10% do valor residual do contrato no valor R$ 558,88 e R$ 1.589,77 com relação ao sinistro não pago.",inadimplência
TGU4B02,NC LOCMAIS SERVICOS LTDA,07/06/2025,16/07/2025,"Moto sinistrada (locatário esta com moto reserva )",moto reserva
SKS2E32,CD MOTOS RENTAL LTDA - SALVADOR,08/05/2025,16/07/2025,"Cancelado por inadimplencia, locatário ciente de contrato.",inadimplência
SKM1C85,Fillipe Felix - SALVADOR (Antiga ACRP LOCACAO),16/07/2025,16/07/2025,troca de moto,troca de moto
TGW5D51,ITAPOA MOBILIDADE LTDA,10/07/2025,16/07/2025,"O contrato está sendo encerrado em comum acordo entre as partes. O veículo foi devolvido em perfeitas condições. Após a verificação de uma pendência financeira existente, o valor do caução foi restituído de forma parcial, conforme previsto nas cláusulas contratuais. O encerramento ocorreu de forma consensual, sem maiores ônus para ambas as partes.",pendência financeira
SKR4D71,REALIZAR LOCACAO DE AUTOMOVEIS LTDA,21/03/2025,15/07/2025,"O contrato foi encerrado por decisão do locatário, que solicitou a devolução do veículo por motivos pessoais, sem apontar insatisfação com o serviço ou produto. A caução será tratada conforme as cláusulas contratuais.",motivos pessoais
TGW0H83,ITAPOA MOBILIDADE LTDA,12/07/2025,14/07/2025,TROCA de moto,TROCA de moto
SKN8D69,RJD INDEPENDENCIA FINANCEIRA E MOBILIDADE LTDA,14/07/2025,14/07/2025,TROCA de moto,TROCA de moto
SKS3D64,HUB MOTOS LTDA,20/03/2025,14/07/2025,sem informações,sem informações
TGR4C29,CG Motos Ltda,16/05/2025,14/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TLX5B34,MG RENTAL MOTOS - Salvador,14/03/2025,14/07/2025,"O contrato está sendo encerrado em comum acordo entre as partes. O valor do caução será restituído de forma parcial, conforme previsto nas cláusulas contratuais. O encerramento ocorreu de forma consensual, sem maiores ônus para ambas as partes",encerrado em comum acordo entre as partes
SKM5I55,G&G LOCAÇÕES AUTOMOTIVAS - sede,11/03/2025,12/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
TGW0H83,ITAPOA MOBILIDADE LTDA,11/07/2025,11/07/2025,sem informações,sem informações
SKQ0G83,LOC AND GO LTDA,30/06/2025,11/07/2025,"O contrato foi encerrado por decisão do locatário, que solicitou a devolução do veículo por motivos pessoais, sem apontar insatisfação com o serviço ou produto. A caução será tratada conforme as cláusulas contratuais.",motivos pessoais
SKS9E90,CD MOTOS RENTAL LTDA - SALVADOR,24/04/2025,11/07/2025,sem informações,sem informações
SKN8D69,RJD INDEPENDENCIA FINANCEIRA E MOBILIDADE LTDA,15/05/2025,10/07/2025,"Moto sinistrada, cancelamento realizado devido a ausência de retorno por parte do locatário.",ausência de retorno
TLJ0F40,MG RENTAL MOTOS - Salvador,10/07/2025,10/07/2025,TROCA de moto,TROCA de moto
SKO5B53,HUB MOTOS LTDA,17/06/2025,10/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKM9G55,FVE LOCACOES E SERVICOS LTDA,12/06/2025,09/07/2025,mudança de contrato para fidelidade,mudança de contrato para fidelidade
SKJ8E68,W&W LOCADORA DE VEICULOS LTDA,04/07/2025,09/07/2025,Moto voltara para manutenção,manutenção
SKO6B10,H4S SERVICO DE LOCACAO DE MOTOS LTDA,01/07/2025,08/07/2025,substituição de moto,substituição de moto
SKN8H45,RJD INDEPENDENCIA FINANCEIRA E MOBILIDADE LTDA,08/07/2025,08/07/2025,Alteração,Alteração
TGU5E89,LOCAT LOCACOES DE VEICULOS AUTOMORES LTDA,29/05/2025,08/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKS2E12,FVE LOCACOES E SERVICOS LTDA,20/03/2025,07/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKO9E22,H4S SERVICO DE LOCACAO DE MOTOS LTDA,06/06/2025,07/07/2025,"contrato foi encerrado em decorrência do cumprimento integral do prazo acordado entre as partes. Ao término do período contratual, o cliente optou por não realizar a renovação, sendo respeitada sua decisão conforme previsto nas cláusulas contratuais. Todas as obrigações foram cumpridas até a data final, encerrando-se assim a relação contratual de forma amigável.",decorrência do cumprimento integral do prazo
SKN4J57,FVE LOCACOES E SERVICOS LTDA,22/01/2025,07/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
SKQ2E21,FVE LOCACOES E SERVICOS LTDA,07/07/2025,07/07/2025,sem informações,sem informações
TGU5E89,LOCAT LOCACOES DE VEICULOS AUTOMORES LTDA,08/07/2025,07/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato. Houve diversas tentativas de contato com o locatário por 2 semanas e o mesmo não nos retornou, configurando assim, tentativa de apropriação indébita.",inadimplência
SKP4A07,D & M LOCADORA DE VEICULOS LTDA,20/06/2025,07/07/2025,"Contrato encerrado a pedido do locatário, que optou pela devolução do veículo por motivos pessoais. Foi mencionada, de forma breve, uma insatisfação com alguns aspectos da motocicleta.",motivos pessoais
TGU0H71,RODOLFO VICTOR RIBEIRO,20/06/2025,07/07/2025,"O contrato foi cancelado devido à inadimplência de sinistro, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGT4D16,G&G LOCAÇÕES AUTOMOTIVAS - sede,17/07/2025,05/07/2025,sem informações,sem informações
TGT8B37,FVE LOCACOES E SERVICOS LTDA,20/05/2025,04/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKR5E06,CG Motos Ltda,13/03/2025,04/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKM9D07,FVE LOCACOES E SERVICOS LTDA,04/07/2025,04/07/2025,DESISTENCIA,Desistência
SKN1D09,FVE LOCACOES E SERVICOS LTDA,28/12/2024,04/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKQ6A35,Pinheiro Locação Ltda,20/02/2025,04/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
TGR1A76,FBF LOCACOES E SERVICOS LTDA,15/04/2025,04/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato",inadimplência
SKP5E44,D & M LOCADORA DE VEICULOS LTDA,20/06/2025,04/07/2025,"O contrato foi encerrado por decisão do locatário, que solicitou a devolução do veículo por motivos pessoais, sem apontar insatisfação com o serviço ou produto. A caução será tratada conforme as cláusulas contratuais",motivos pessoais
SKP5A91,D & M LOCADORA DE VEICULOS LTDA,08/05/2025,04/07/2025,"Contrato encerrado a pedido do locatário, que optou pela devolução do veículo por motivos pessoais. Foi mencionada, de forma breve, uma insatisfação com alguns aspectos da locação.",motivos pessoais
SKO5D97,H4S SERVICO DE LOCACAO DE MOTOS LTDA,06/06/2025,02/07/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKM3A81,G&G LOCAÇÕES AUTOMOTIVAS - sede,23/12/2024,01/07/2025,sem informações,sem informações
SKJ1C64,W&W LOCADORA DE VEICULOS LTDA,01/11/2024,01/07/2025,"O contrato foi encerrado por decisão do locatário, que solicitou a devolução do veículo por motivos pessoais, sem apontar insatisfação com o serviço ou produto. A caução será tratada conforme as cláusulas contratuais.",motivos pessoais
TGT4D16,G&G LOCAÇÕES AUTOMOTIVAS - sede,17/06/2025,01/07/2025,"Contrato cancelado a pedido do locatário por não adaptação ao modelo da motocicleta. A decisão foi tomada logo após o início da locação. Caução será devolvida/descontada conforme previsto contratualmente",não adaptação ao modelo da motocicleta
SKT1C71,JD HOLDING LTDA,30/06/2025,01/07/2025,devolução,devolução
TGW5I46,LIT SERVICOS LTDA,12/07/2025,06/08/2025,"O contrato foi cancelado devido à inadimplência, com retenção do valor de caução e aplicação da multa contratual conforme estabelecido nas cláusulas do contrato.",inadimplência
SKS9J22,CD MOTOS RENTAL LTDA - SALVADOR,03/04/2025,06/08/2025,Liberação de placa,Liberação de placa
TLN9I32,MG RENTAL MOTOS - Salvador,06/08/2025,06/08/2025,Liberação de placa,Liberação de placa
